Library,ILDSDeliveryStop,CatalogLink,LibID
Acorn Public Library District,XBR,https://catalog.swanlibraries.net/ads,ADS
Alsip-Merrionette Park Public Library District,XBR,https://catalog.swanlibraries.net/ams,AMS
Bedford Park Public Library District,XBR,https://catalog.swanlibraries.net/bps,BPS
Beecher Community Library District,XBR,https://catalog.swanlibraries.net/bcs,BCS
Bellwood Public Library,XBR,https://catalog.swanlibraries.net/bws,BWS
Berkeley Public Library,XBR,https://catalog.swanlibraries.net/bks,BKS
Berwyn Public Library,XBR,https://catalog.swanlibraries.net/bys,BYS
Blue Island Public Library,XBR,https://catalog.swanlibraries.net/bis,BIS
Bridgeview Public Library,XBR,https://catalog.swanlibraries.net/bvs,BVS
Broadview Public Library District,XBR,https://catalog.swanlibraries.net/brs,BRS
Brookfield Public Library,XBR,https://catalog.swanlibraries.net/bfs,BFS
Brookfield Zoo -- Library,XBR,https://catalog.swanlibraries.net/bzs,BZS
Calumet City Public Library,XBR,https://catalog.swanlibraries.net/ccs,CCS
Calumet Park Public Library,XBR,https://catalog.swanlibraries.net/cas,CAS
Chicago Heights Public Library,XBR,https://catalog.swanlibraries.net/chs,CHS
Chicago Ridge Public Library,XBR,https://catalog.swanlibraries.net/crs,CRS
Cicero Public Library,XBR,https://catalog.swanlibraries.net/cis,CIS
Clarendon Hills Public Library,XBR,https://catalog.swanlibraries.net/cns,CNS
Crestwood Public Library District,XBR,https://catalog.swanlibraries.net/cws,CWS
Crete Public Library District,XBR,https://catalog.swanlibraries.net/cts,CTS
Dolton Public Library District,XBR,https://catalog.swanlibraries.net/dos,DOS
Downers Grove Public Library,XBR,https://catalog.swanlibraries.net/dgs,DGS
Eisenhower Public Library District,XBR,https://catalog.swanlibraries.net/ess,ESS
Elmwood Park Public Library,XBR,https://catalog.swanlibraries.net/eps,EPS
Evergreen Park Public Library,XBR,https://catalog.swanlibraries.net/evs,EVS
Flossmoor Public Library,XBR,https://catalog.swanlibraries.net/fms,FMS
Forest Park Public Library,XBR,https://catalog.swanlibraries.net/fps,FPS
Frankfort Public Library District,XBR,https://catalog.swanlibraries.net/frs,FRS
Franklin Park Public Library District,XGV,http://lnco.ent.sirsi.net/client/franklinpark,FPD
Glenwood-Lynwood Public Library District,XBR,https://catalog.swanlibraries.net/gws,GWS
Glenwood-Lynwood Public Library District -- Bookmobile,XBR,https://catalog.swanlibraries.net/gws,GAS
Grande Prairie Public Library District,XBR,https://catalog.swanlibraries.net/gps,GPS
Harvey Public Library District,XBR,https://catalog.swanlibraries.net/has,HAS
Hillside Public Library,XBR,https://catalog.swanlibraries.net/hss,HSS
Hinsdale Public Library,XBR,https://catalog.swanlibraries.net/hds,HDS
Hodgkins Public Library District,XBR,https://catalog.swanlibraries.net/hks,HKS
Homewood Public Library District,XBR,https://catalog.swanlibraries.net/hws,HWS
Indian Prairie Public Library District,XBR,https://catalog.swanlibraries.net/ins,INS
Justice Public Library District,XBR,https://catalog.swanlibraries.net/jds,JDS
LaGrange Park Public Library District,XBR,https://catalog.swanlibraries.net/lps,LPS
LaGrange Public Library,XBR,https://catalog.swanlibraries.net/lgs,LGS
Lansing Public Library,XBR,https://swanlibs.ent.sirsi.net/client/en_US/lss/,LSS
Lyons Public Library,XBR,https://catalog.swanlibraries.net/lys,LYS
Markham Public Library -- Bradford Anderson Oglesby Library,XBR,https://catalog.swanlibraries.net/mks,MKS
Matteson Area Public Library District,XBR,https://catalog.swanlibraries.net/mts,MTS
Maywood Public Library District,XBR,https://catalog.swanlibraries.net/mws,MWS
McCook Public Library District,XBR,https://catalog.swanlibraries.net/mcs,MCS
Melrose Park Public Library,XBR,https://catalog.swanlibraries.net/mps,MPS
