"","LibID","Library","SECTION","MONTH","YEAR","BibsAdded","ItemsAdded","CATEGORY","SUBCATEGORY"
"1","AD","Acorn Public Library District","il","January",2011,,18,"ILL RECEIVED","ILL RECEIVED"
"2","AD","Acorn Public Library District","j","January",2011,13,48,"JUVENILE","JUVENILE"
"3","AD","Acorn Public Library District","an","January",2011,,125,"ADULT","ADULT NEW"
"4","AD","Acorn Public Library District","jn","January",2011,,127,"JUVENILE","JUVENILE NEW"
"5","AD","Acorn Public Library District","total","January",2011,63,270,"TOTAL","TOTAL"
"6","AM","Alsip-Merrionette Park Public Library District","total","January",2011,181,918,"TOTAL","TOTAL"
"7","AM","Alsip-Merrionette Park Public Library District","j","January",2011,95,430,"JUVENILE","JUVENILE"
"8","AM","Alsip-Merrionette Park Public Library District","a","January",2011,,208,"ADULT","ADULT"
"9","AM","Alsip-Merrionette Park Public Library District","j","January",2011,95,22,"JUVENILE","JUVENILE"
"10","BC","Beecher Community Library District","total","January",2011,5,129,"TOTAL","TOTAL"
"11","BC","Beecher Community Library District","j","January",2011,6,47,"JUVENILE","JUVENILE"
"12","BC","Beecher Community Library District","jp","January",2011,,19,"JUVENILE","JUV PAPERBACKS"
"13","BF","Brookfield Public Library","a","January",2011,,363,"ADULT","ADULT"
"14","BF","Brookfield Public Library","y","January",2011,,7,"YOUNG ADULT","YOUNG ADULT"
"15","BF","Brookfield Public Library","m","January",2011,,271,"PERIODICALS","PERIODICALS"
"16","BF","Brookfield Public Library","js","January",2011,,4,"PARENT TEACHER","PARENT TEACHER"
"17","BF","Brookfield Public Library","j","January",2011,26,3,"JUVENILE","JUVENILE"
"18","BF","Brookfield Public Library","ym","January",2011,,9,"YOUNG ADULT","YOUNG ADULT PERIODICALS"
"19","BF","Brookfield Public Library","jm","January",2011,,11,"JUVENILE","JUV PERIODICALS"
"20","BF","Brookfield Public Library","total","January",2011,105,20,"TOTAL","TOTAL"
"21","BF","Brookfield Public Library","j","January",2011,26,164,"JUVENILE","JUVENILE"
"22","BF","Brookfield Public Library","y","January",2011,,72,"YOUNG ADULT","YOUNG ADULT"
"23","BI","Blue Island Public Library","total","January",2011,148,466,"TOTAL","TOTAL"
"24","BI","Blue Island Public Library","j","January",2011,14,60,"JUVENILE","JUVENILE"
"25","BI","Blue Island Public Library","an","January",2011,,123,"ADULT","ADULT NEW"
"26","BK","Berkeley Public Library","total","January",2011,25,80,"TOTAL","TOTAL"
"27","BK","Berkeley Public Library","j","January",2011,26,104,"JUVENILE","JUVENILE"
"28","BK","Berkeley Public Library","j","January",2011,26,8,"JUVENILE","JUVENILE"
"29","BK","Berkeley Public Library","a","January",2011,,146,"ADULT","ADULT"
"30","BP","Bedford Park Public Library District","total","January",2011,4,80,"TOTAL","TOTAL"
"31","BP","Bedford Park Public Library District","j","January",2011,1,40,"JUVENILE","JUVENILE"
"32","BP","Bedford Park Public Library District","an","January",2011,,10,"ADULT","ADULT NEW"
"33","BR","Broadview Public Library District","j","January",2011,3,43,"JUVENILE","JUVENILE"
"34","BR","Broadview Public Library District","total","January",2011,17,243,"TOTAL","TOTAL"
"35","BV","Bridgeview Public Library","jv","January",2011,,3,"JUVENILE","JUVENILE VIDEO"
"36","BV","Bridgeview Public Library","m","January",2011,,127,"PERIODICALS","PERIODICALS"
"37","BV","Bridgeview Public Library","jm","January",2011,,16,"JUVENILE","JUV PERIODICALS"
"38","BV","Bridgeview Public Library","il","January",2011,,16,"ILL RECEIVED","ILL RECEIVED"
"39","BV","Bridgeview Public Library","y","January",2011,,21,"YOUNG ADULT","YOUNG ADULT"
"40","BV","Bridgeview Public Library","j","January",2011,9,28,"JUVENILE","JUVENILE"
"41","BV","Bridgeview Public Library","a","January",2011,,106,"ADULT","ADULT"
"42","BV","Bridgeview Public Library","l","January",2011,,42,"FOREIGN LANGUAGE","FOREIGN LANGUAGE"
"43","BV","Bridgeview Public Library","ym","January",2011,,10,"YOUNG ADULT","YOUNG ADULT PERIODICALS"
"44","BV","Bridgeview Public Library","r","January",2011,,3,"RESERVE","RESERVE"
"45","BV","Bridgeview Public Library","v","January",2011,,24,"ADULT","AUDIO VISUAL"
"46","BV","Bridgeview Public Library","y","January",2011,,11,"YOUNG ADULT","YOUNG ADULT"
"47","BV","Bridgeview Public Library","total","January",2011,50,77,"TOTAL","TOTAL"
"48","BW","Bellwood Public Library","total","January",2011,32,184,"TOTAL","TOTAL"
"49","BW","Bellwood Public Library","an","January",2011,,196,"ADULT","ADULT NEW"
"50","BW","Bellwood Public Library","j","January",2011,4,123,"JUVENILE","JUVENILE"
"51","BY","Berwyn Public Library","j","January",2011,3,267,"JUVENILE","JUVENILE"
"52","BY","Berwyn Public Library","an","January",2011,,421,"ADULT","ADULT NEW"
"53","BY","Berwyn Public Library","total","January",2011,124,616,"TOTAL","TOTAL"
"54","BZ","Brookfield Zoo -- Library","total","January",2011,1,1,"TOTAL","TOTAL"
"55","CA","Calumet Park Public Library","total","January",2011,1,126,"TOTAL","TOTAL"
"56","CA","Calumet Park Public Library","j","January",2011,,37,"JUVENILE","JUVENILE"
"57","CC","Calumet City Public Library","total","January",2011,64,821,"TOTAL","TOTAL"
"58","CC","Calumet City Public Library","an","January",2011,,15,"ADULT","ADULT NEW"
"59","CC","Calumet City Public Library","j","January",2011,45,363,"JUVENILE","JUVENILE"
"60","CC","Calumet City Public Library","jn","January",2011,,13,"JUVENILE","JUVENILE NEW"
"61","CH","Chicago Heights Public Library","total","January",2011,44,114,"TOTAL","TOTAL"
"62","CH","Chicago Heights Public Library","j","January",2011,15,103,"JUVENILE","JUVENILE"
"63","CH","Chicago Heights Public Library","y","January",2011,,22,"YOUNG ADULT","YOUNG ADULT"
"64","CH","Chicago Heights Public Library","an","January",2011,,49,"ADULT","ADULT NEW"
"65","CI","Cicero Public Library","total","January",2011,106,590,"TOTAL","TOTAL"
"66","CI","Cicero Public Library","an","January",2011,,287,"ADULT","ADULT NEW"
"67","CI","Cicero Public Library","h","January",2011,,2,"UNKNOWN","UNKNOWN"
"68","CI","Cicero Public Library","j","January",2011,54,598,"JUVENILE","JUVENILE"
"69","CN","Clarendon Hills Public Library","j","January",2011,9,126,"JUVENILE","JUVENILE"
"70","CN","Clarendon Hills Public Library","a","January",2011,,1,"ADULT","ADULT"
"71","CN","Clarendon Hills Public Library","total","January",2011,14,206,"TOTAL","TOTAL"
"72","CN","Clarendon Hills Public Library","j","January",2011,9,1,"JUVENILE","JUVENILE"
"73","CN","Clarendon Hills Public Library","j","January",2011,9,87,"JUVENILE","JUVENILE"
"74","CN","Clarendon Hills Public Library","a","January",2011,,233,"ADULT","ADULT"
"75","CR","Chicago Ridge Public Library","il","January",2011,,17,"ILL RECEIVED","ILL RECEIVED"
"76","CR","Chicago Ridge Public Library","j","January",2011,34,187,"JUVENILE","JUVENILE"
"77","CR","Chicago Ridge Public Library","y","January",2011,,8,"YOUNG ADULT","YOUNG ADULT"
"78","CR","Chicago Ridge Public Library","y","January",2011,,24,"YOUNG ADULT","YOUNG ADULT"
"79","CR","Chicago Ridge Public Library","j","January",2011,34,24,"JUVENILE","JUVENILE"
"80","CR","Chicago Ridge Public Library","a","January",2011,,205,"ADULT","ADULT"
"81","CR","Chicago Ridge Public Library","total","January",2011,34,306,"TOTAL","TOTAL"
"82","CT","Crete Public Library District","an","January",2011,,335,"ADULT","ADULT NEW"
"83","CT","Crete Public Library District","total","January",2011,62,267,"TOTAL","TOTAL"
"84","CT","Crete Public Library District","j","January",2011,44,533,"JUVENILE","JUVENILE"
"85","CW","Crestwood Public Library District","il","January",2011,,7,"ILL RECEIVED","ILL RECEIVED"
"86","CW","Crestwood Public Library District","j","January",2011,25,123,"JUVENILE","JUVENILE"
"87","CW","Crestwood Public Library District","a","January",2011,,24,"ADULT","ADULT"
"88","CW","Crestwood Public Library District","total","January",2011,16,195,"TOTAL","TOTAL"
"89","DG","Downers Grove Public Library","an","January",2011,,607,"ADULT","ADULT NEW"
"90","DG","Downers Grove Public Library","il","January",2011,,117,"ILL RECEIVED","ILL RECEIVED"
"91","DG","Downers Grove Public Library","j","January",2011,150,650,"JUVENILE","JUVENILE"
"92","DG","Downers Grove Public Library","total","January",2011,452,922,"TOTAL","TOTAL"
"93","DG","Downers Grove Public Library","yn","January",2011,,38,"YOUNG ADULT","YOUNG ADULT NEW"
"94","DO","Dolton Public Library District","total","January",2011,40,373,"TOTAL","TOTAL"
"95","DO","Dolton Public Library District","an","January",2011,,16,"ADULT","ADULT NEW"
"96","DO","Dolton Public Library District","ad","January",2011,,2,"ADULT","ADULT DISPLAY"
"97","DO","Dolton Public Library District","f","January",2011,,61,"FICTION","FICTION"
"98","DO","Dolton Public Library District","jn","January",2011,,13,"JUVENILE","JUVENILE NEW"
"99","DO","Dolton Public Library District","j","January",2011,8,128,"JUVENILE","JUVENILE"
"100","EP","Elmwood Park Public Library","l","January",2011,,42,"FOREIGN LANGUAGE","FOREIGN LANGUAGE"
"101","EP","Elmwood Park Public Library","y","January",2011,,47,"YOUNG ADULT","YOUNG ADULT"
"102","EP","Elmwood Park Public Library","jv","January",2011,,32,"JUVENILE","JUVENILE VIDEO"
"103","EP","Elmwood Park Public Library","yv","January",2011,,1,"YOUNG ADULT","YOUNG ADULT VIDEO"
"104","EP","Elmwood Park Public Library","jm","January",2011,,40,"JUVENILE","JUV PERIODICALS"
"105","EP","Elmwood Park Public Library","total","January",2011,54,129,"TOTAL","TOTAL"
"106","EP","Elmwood Park Public Library","jl","January",2011,,13,"JUVENILE","JUV FOREIGN LANG"
"107","EP","Elmwood Park Public Library","jr","January",2011,,23,"JUVENILE","JUV RESERVE"
"108","EP","Elmwood Park Public Library","j","January",2011,59,48,"JUVENILE","JUVENILE"
"109","EP","Elmwood Park Public Library","t","January",2011,,1,"LARGE TYPE","LARGE TYPE"
"110","EP","Elmwood Park Public Library","r","January",2011,,27,"RESERVE","RESERVE"
"111","EP","Elmwood Park Public Library","b","January",2011,,8,"ADULT","ADULT BIOGRAPHY"
"112","EP","Elmwood Park Public Library","m","January",2011,,168,"PERIODICALS","PERIODICALS"
"113","EP","Elmwood Park Public Library","v","January",2011,,99,"ADULT","AUDIO VISUAL"
"114","EP","Elmwood Park Public Library","je","January",2011,,96,"JUVENILE","JUV PICTURE BOOKS"
"115","EP","Elmwood Park Public Library","js","January",2011,,8,"PARENT TEACHER","PARENT TEACHER"
"116","ES","Eisenhower Public Library District","an","January",2011,,346,"ADULT","ADULT NEW"
"117","ES","Eisenhower Public Library District","j","January",2011,28,210,"JUVENILE","JUVENILE"
"118","ES","Eisenhower Public Library District","total","January",2011,254,718,"TOTAL","TOTAL"
"119","ES","Eisenhower Public Library District","jn","January",2011,,205,"JUVENILE","JUVENILE NEW"
"120","EV","Evergreen Park Public Library","total","January",2011,61,442,"TOTAL","TOTAL"
"121","EV","Evergreen Park Public Library","jn","January",2011,,206,"JUVENILE","JUVENILE NEW"
"122","EV","Evergreen Park Public Library","j","January",2011,38,118,"JUVENILE","JUVENILE"
"123","EV","Evergreen Park Public Library","an","January",2011,,342,"ADULT","ADULT NEW"
"124","FM","Flossmoor Public Library","an","January",2011,,176,"ADULT","ADULT NEW"
"125","FM","Flossmoor Public Library","total","January",2011,39,419,"TOTAL","TOTAL"
