"Library","address","phone","Address","City","Zip","LAT","LON"
"Acorn Public Library District","15624 S Central Ave., Oak Forest, IL 60452","(708) 687-3700","15624 S Central Ave","Oak Forest","60452",41.60737372,-87.75614799
"Alsip-Merrionette Park Public Library District","11960 S Pulaski Rd., Alsip, IL 60803","(708) 371-5666","11960 S Pulaski Rd","Alsip","60803",41.67526363,-87.71968049
"Bedford Park Public Library District","7816 W 65th Pl., Bedford Park, IL 60501","(708) 458-6826","7816 W 65th Pl","Bedford Park","60501",41.77272265,-87.81647794
"Beecher Community Library District","660 Penfield St., Beecher, IL 60401","(708) 946-9090","660 Penfield St","Beecher","60401",41.34247373,-87.62699342
"Bellwood Public Library","600 Bohland Ave., Bellwood, IL 60104","(708) 547-7393","600 Bohland Ave","Bellwood","60104",41.88160894,-87.87711633
"Berkeley Public Library","1637 N Taft Ave., Berkeley, IL 60163","(708) 544-6017","1637 N Taft Ave","Berkeley","60163",41.88408861,-87.9130129
"Berwyn Public Library","2701 S Harlem Ave., Berwyn, IL 60402","(708) 795-8000","2701 S Harlem Ave","Berwyn","60402",41.84172302,-87.80335087
"Blue Island Public Library","2433 York St., Blue Island, IL 60406","(708) 388-1078","2433 York St","Blue Island","60406",41.65714644,-87.68127911
"Bridgeview Public Library","7840 W 79th St., Bridgeview, IL 60455","(708) 458 2880","7840 W 79th St","Bridgeview","60455",41.74771579,-87.81575983
"Broadview Public Library District","2226 S 16th Ave., Broadview, IL 60155","(708) 345-1325","2226 S 16th Ave","Broadview","60155",41.86330508,-87.85177423
"Brookfield Public Library","3609 Grand Blvd., Brookfield, IL 60513","(708) 485-6917","3609 Grand Blvd","Brookfield","60513",41.82540889,-87.8484505
"Brookfield Zoo","3300 Golf Rd., Brookfield, IL 60513","(708) 688-8583","3300 Golf Rd","Brookfield","60513",41.83055,-87.83211
"Calumet City Public Library","660 Manistee Ave., Calumet City, IL 60409","(708) 862-6220","660 Manistee Ave","Calumet City","60409",41.61640225,-87.55530108
"Calumet Park Public Library","1500 W 127th St., Calumet Park, IL 60827","(708) 385-5768","1500 W 127th St","Calumet Park","60827",41.66295745,-87.6586434
"Chicago Heights Public Library","25 W 15th St., Chicago Heights, IL 60411","(708) 754-0323","25 W 15th St","Chicago Heights","60411",41.50426581,-87.64187721
"Chicago Ridge Public Library","10400 S Oxford Ave., Chicago Ridge, IL 60415","(708) 423-7753","10400 S Oxford Ave","Chicago Ridge","60415",41.70241392,-87.77799719
"Cicero Public Library","5225 W Cermak Rd., Cicero, IL 60804","(708) 652-8084","5225 W Cermak Rd","Cicero","60804",41.85107811,-87.75516624
"Clarendon Hills Public Library","7 N Prospect Ave., Clarendon Hills, IL 60514","(630) 323-8188","7 N Prospect Ave","Clarendon Hills","60514",41.79815311,-87.95481132
"Crestwood Public Library District","4955 W 135th St., Crestwood, IL 60445","(708) 371-4090","4955 W 135th St","Crestwood","60445",41.64706344,-87.7441885
"Crete Public Library District","1177 N Main St., Crete, IL 60417","(708) 672-8017","1177 N Main St","Crete","60417",41.44988741,-87.6318987
"Dolton Public Library District","14037 Lincoln Ave., Dolton, IL 60419","(708) 849-2385","14037 Lincoln Ave","Dolton","60419",41.63965489,-87.60852778
"Downers Grove Public Library","1050 Curtiss St., Downers Grove, IL 60515","(630) 960-1200","1050 Curtiss St","Downers Grove","60515",41.79373832,-88.01117798
"Eisenhower Public Library District","4613 N Oketo Ave., Harwood Heights, IL 60706","(708) 867-7828","4613 N Oketo Ave","Harwood Heights","60706",41.96427411,-87.81208907
"Elmwood Park Public Library","1 W Conti Pkwy., Elmwood Park, IL 60707","(708) 453-7645","1 W Conti Pkwy","Elmwood Park","60707",41.92682854,-87.81841427
"Evergreen Park Public Library","9400 S Troy Ave., Evergreen Park, IL 60805","(708) 422-8522","9400 S Troy Ave","Evergreen Park","60805",41.72217872,-87.70064996
"Flossmoor Public Library","1000 Sterling Ave., Flossmoor, IL 60422","(708) 798-3600","1000 Sterling Ave","Flossmoor","60422",41.54446538,-87.67819885
"Forest Park Public Library","7555 Jackson Blvd., Forest Park, IL 60130","(708) 366-7171","7555 Jackson Blvd","Forest Park","60130",41.87578,-87.81437
